onset	duration	condition	stim	resp	RT
15.057	20	2	n/a	n/a	n/a
35.13	20	2	n/a	n/a	n/a
55.088	20	4	n/a	n/a	n/a
75.162	20	3	n/a	n/a	n/a
95.121	20	3	n/a	n/a	n/a
115.079	20	3	n/a	n/a	n/a
135.154	20	2	n/a	n/a	n/a
155.112	20	1	n/a	n/a	n/a
175.07	20	1	n/a	n/a	n/a
195.145	20	4	n/a	n/a	n/a
215.103	20	3	n/a	n/a	n/a
235.061	20	4	n/a	n/a	n/a
255.103	20	4	n/a	n/a	n/a
275.061	20	1	n/a	n/a	n/a
295.137	20	2	n/a	n/a	n/a
315.095	20	1	n/a	n/a	n/a
0	0.8	n/a	7	n/a	n/a
1.6	0.8	n/a	5	n/a	n/a
3.2	0.8	n/a	5	n/a	n/a
4.8	0.8	n/a	7	n/a	n/a
6.4	0.8	n/a	5	n/a	n/a
8	0.8	n/a	5	n/a	n/a
9.6	0.8	n/a	5	n/a	n/a
11.2	0.8	n/a	7	n/a	n/a
12.8	0.8	n/a	7	n/a	n/a
14.4	0.8	n/a	5	n/a	n/a
16	0.8	n/a	7	n/a	n/a
17.6	0.8	n/a	5	n/a	n/a
19.2	0.8	n/a	7	n/a	n/a
20.8	0.8	n/a	7	n/a	n/a
22.4	0.8	n/a	7	n/a	n/a
24	0.8	n/a	5	n/a	n/a
25.6	0.8	n/a	7	n/a	n/a
27.2	0.8	n/a	5	n/a	n/a
28.8	0.8	n/a	7	n/a	n/a
30.4	0.8	n/a	5	n/a	n/a
32	0.8	n/a	5	n/a	n/a
33.6	0.8	n/a	5	n/a	n/a
35.2	0.8	n/a	7	n/a	n/a
36.8	0.8	n/a	7	n/a	n/a
38.4	0.8	n/a	5	n/a	n/a
40	0.8	n/a	7	n/a	n/a
41.6	0.8	n/a	5	n/a	n/a
43.2	0.8	n/a	7	n/a	n/a
44.8	0.8	n/a	7	n/a	n/a
46.4	0.8	n/a	5	n/a	n/a
48	0.8	n/a	7	n/a	n/a
49.6	0.8	n/a	5	n/a	n/a
51.2	0.8	n/a	7	n/a	n/a
52.8	0.8	n/a	5	n/a	n/a
54.4	0.8	n/a	5	n/a	n/a
56	0.8	n/a	5	n/a	n/a
57.6	0.8	n/a	7	n/a	n/a
59.2	0.8	n/a	5	n/a	n/a
60.8	0.8	n/a	7	n/a	n/a
62.4	0.8	n/a	5	n/a	n/a
64	0.8	n/a	5	n/a	n/a
65.6	0.8	n/a	5	n/a	n/a
67.2	0.8	n/a	7	n/a	n/a
68.8	0.8	n/a	5	n/a	n/a
70.4	0.8	n/a	7	n/a	n/a
72	0.8	n/a	5	n/a	n/a
73.6	0.8	n/a	7	n/a	n/a
75.2	0.8	n/a	5	n/a	n/a
76.8	0.8	n/a	5	n/a	n/a
78.4	0.8	n/a	5	n/a	n/a
80	0.8	n/a	7	n/a	n/a
81.6	0.8	n/a	5	n/a	n/a
83.2	0.8	n/a	7	n/a	n/a
84.8	0.8	n/a	5	n/a	n/a
86.4	0.8	n/a	7	n/a	n/a
88	0.8	n/a	5	n/a	n/a
89.6	0.8	n/a	7	n/a	n/a
91.2	0.8	n/a	5	n/a	n/a
92.8	0.8	n/a	7	n/a	n/a
94.4	0.8	n/a	7	n/a	n/a
96	0.8	n/a	5	n/a	n/a
97.6	0.8	n/a	7	n/a	n/a
99.2	0.8	n/a	5	n/a	n/a
100.8	0.8	n/a	5	n/a	n/a
102.4	0.8	n/a	7	n/a	n/a
104	0.8	n/a	7	n/a	n/a
105.6	0.8	n/a	7	n/a	n/a
107.2	0.8	n/a	5	n/a	n/a
108.8	0.8	n/a	5	n/a	n/a
110.4	0.8	n/a	7	n/a	n/a
112	0.8	n/a	5	n/a	n/a
113.6	0.8	n/a	5	n/a	n/a
115.2	0.8	n/a	5	n/a	n/a
116.8	0.8	n/a	7	n/a	n/a
118.4	0.8	n/a	5	n/a	n/a
120	0.8	n/a	7	n/a	n/a
121.6	0.8	n/a	5	n/a	n/a
123.2	0.8	n/a	5	n/a	n/a
124.8	0.8	n/a	7	n/a	n/a
126.4	0.8	n/a	7	n/a	n/a
128	0.8	n/a	7	n/a	n/a
129.6	0.8	n/a	5	n/a	n/a
131.2	0.8	n/a	5	n/a	n/a
132.8	0.8	n/a	5	n/a	n/a
134.4	0.8	n/a	7	n/a	n/a
136	0.8	n/a	5	n/a	n/a
137.6	0.8	n/a	5	n/a	n/a
139.2	0.8	n/a	5	n/a	n/a
140.8	0.8	n/a	7	n/a	n/a
142.4	0.8	n/a	7	n/a	n/a
144	0.8	n/a	5	n/a	n/a
145.6	0.8	n/a	5	n/a	n/a
147.2	0.8	n/a	5	n/a	n/a
148.8	0.8	n/a	7	n/a	n/a
150.4	0.8	n/a	7	n/a	n/a
152	0.8	n/a	7	n/a	n/a
153.6	0.8	n/a	5	n/a	n/a
155.2	0.8	n/a	5	n/a	n/a
156.8	0.8	n/a	7	n/a	n/a
158.4	0.8	n/a	7	n/a	n/a
160	0.8	n/a	7	n/a	n/a
161.6	0.8	n/a	5	n/a	n/a
163.2	0.8	n/a	7	n/a	n/a
164.8	0.8	n/a	7	n/a	n/a
166.4	0.8	n/a	7	n/a	n/a
168	0.8	n/a	5	n/a	n/a
169.6	0.8	n/a	7	n/a	n/a
171.2	0.8	n/a	5	n/a	n/a
172.8	0.8	n/a	5	n/a	n/a
174.4	0.8	n/a	5	n/a	n/a
176	0.8	n/a	7	n/a	n/a
177.6	0.8	n/a	7	n/a	n/a
179.2	0.8	n/a	5	n/a	n/a
180.8	0.8	n/a	5	n/a	n/a
182.4	0.8	n/a	5	n/a	n/a
184	0.8	n/a	7	n/a	n/a
185.6	0.8	n/a	5	n/a	n/a
187.2	0.8	n/a	7	n/a	n/a
188.8	0.8	n/a	5	n/a	n/a
190.4	0.8	n/a	7	n/a	n/a
192	0.8	n/a	5	n/a	n/a
193.6	0.8	n/a	7	n/a	n/a
195.2	0.8	n/a	5	n/a	n/a
196.8	0.8	n/a	5	n/a	n/a
198.4	0.8	n/a	5	n/a	n/a
200	0.8	n/a	7	n/a	n/a
201.6	0.8	n/a	5	n/a	n/a
203.2	0.8	n/a	5	n/a	n/a
204.8	0.8	n/a	7	n/a	n/a
